entry_time,entry_price,entry_dir,entry_reason,exit_time,exit_price,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl,points,pnl,exit_reason,cost_points,cost_cash
2020-03-04 15:30:00,11394.0,LONG,15:15訊號進場,2020-03-06 15:30:00,11253.0,-141.0,2.0,4.0,-145.0,-29000.0,-145.0,-29000.0,15:15訊號翻正_平倉,4.0,800.0
2020-03-13 15:30:00,10059.0,LONG,15:15訊號進場,2020-03-18 15:30:00,8639.0,-1420.0,2.0,4.0,-1424.0,-284800.0,-1424.0,-284800.0,15:15訊號翻正_平倉,4.0,800.0
2020-03-20 15:30:00,9179.0,LONG,15:15訊號進場,2020-03-22 15:30:00,9006.0,-173.0,2.0,4.0,-177.0,-35400.0,-177.0,-35400.0,15:15訊號翻正_平倉,4.0,800.0
2020-03-23 15:30:00,8716.0,LONG,15:15訊號進場,2020-03-26 15:30:00,9560.0,844.0,2.0,4.0,840.0,168000.0,840.0,168000.0,15:15訊號翻正_平倉,4.0,800.0
2020-03-31 15:30:00,9640.0,LONG,15:15訊號進場,2020-04-20 15:30:00,10425.0,785.0,2.0,4.0,781.0,156200.0,781.0,156200.0,15:15訊號翻正_平倉,4.0,800.0
2020-04-23 15:30:00,10274.0,LONG,15:15訊號進場,2020-04-28 15:30:00,10602.0,328.0,2.0,4.0,324.0,64800.0,324.0,64800.0,15:15訊號翻正_平倉,4.0,800.0
2020-04-29 15:30:00,10714.0,LONG,15:15訊號進場,2020-05-04 15:30:00,10613.0,-101.0,2.0,4.0,-105.0,-21000.0,-105.0,-21000.0,15:15訊號翻正_平倉,4.0,800.0
2020-05-13 15:30:00,10906.0,LONG,15:15訊號進場,2020-05-14 15:30:00,10762.0,-144.0,2.0,4.0,-148.0,-29600.0,-148.0,-29600.0,15:15訊號翻正_平倉,4.0,800.0
2020-05-15 15:30:00,10830.0,LONG,15:15訊號進場,2020-05-18 15:30:00,10775.0,-55.0,2.0,4.0,-59.0,-11800.0,-59.0,-11800.0,15:15訊號翻正_平倉,4.0,800.0
2020-05-19 15:30:00,10892.0,LONG,15:15訊號進場,2020-05-22 15:30:00,10714.0,-178.0,2.0,4.0,-182.0,-36400.0,-182.0,-36400.0,15:15訊號翻正_平倉,4.0,800.0
